actor_loss,adjusted_no_steps,buffer_size,critic_loss,episode_num,episode_reward,eplenmean,eprewmean,fps,nupdates,sampling_loop,total_timesteps
0.33189763128757477,9,80001,1.1992432938681707,8610,-3.811070565332792,10.325,-0.324439125,3293,80001,1,80001
0.27528347074985504,4,80046,0.9546695798635483,8620,-3.928147978972512,4.6,-3.6792971999999997,3190,80046,1,80046
-0.4915275885551064,81,80476,0.38374793419131525,8630,82.20615945039461,81.6,86.556566,3112,80476,1,80476
-0.8636433622747097,106,81473,0.2894881904687522,8640,28.703148483714912,106.8,96.14623519999999,2943,81473,1,81473
-1.004111807686942,35,81836,0.3207160430295127,8650,-18.09173319160881,35.6,-12.5002498,2888,81836,1,81836
-1.1371925354003907,35,82224,0.36371013266699653,8660,-16.527631345067242,35.4,-17.604169399999996,2835,82224,1,82224
-1.2358233380962063,37,82603,0.39617661286044764,8670,-10.939690358902736,37.0,-16.8000204,2787,82603,1,82603
-1.3230856249206944,38,83013,0.43548337095662165,8680,-21.016712084040968,38.4,-16.8785574,2737,83013,1,83013
-1.5530321886251262,91,83729,0.4792687149493249,8690,139.7468877325932,91.8,129.1056948,2653,83729,1,83729
-1.9780826568603516,87,84672,0.5461823580593899,8700,164.2483236529691,87.4,101.9310672,2548,84672,1,84672
-2.4915880707075013,106,85659,0.6113557497847755,8710,71.52193896770017,106.8,72.8674882,2452,85659,1,85659
-3.1332213023434514,92,86690,0.6629805078972941,8720,155.0149425608707,92.4,106.4315548,2361,86690,1,86690
-3.837190109491348,120,87882,0.7664595355590185,8730,178.70752652383086,120.4,134.0581134,2261,87882,1,87882
-4.516129118151369,113,88955,0.8220994140194581,8740,196.64609016294298,113.0,174.0115374,2184,88955,1,88955
-5.20165888630614,98,89986,0.959092920532032,8750,166.04665908195855,98.0,111.8968484,2116,89986,1,89986
-5.630833625793457,96,90889,1.0215807805458705,8760,144.36938960579812,96.6,86.4928024,1551,90889,1,90889
-6.213756974819487,113,91991,1.1835977445661494,8770,72.52448856293249,113.0,151.218162,1521,91991,1,91991
-6.7449591506611215,110,93078,1.3207596583799883,8780,83.28808222790022,110.2,102.03038920000002,1493,93078,1,93078
-7.179550546280881,94,93998,1.3853951939877043,8790,28.527203165797605,94.4,84.5207926,1471,93998,1,93998
-7.465398542342648,93,95047,1.592049075711158,8800,166.76664313610422,93.4,106.95603339999998,1448,95047,1,95047
-7.854094172969009,99,96173,1.7481266500973942,8810,44.36733125811989,99.4,89.65584,1423,96173,2,96173
-8.272883879832733,117,97420,1.85373595637134,8820,173.70802748174435,117.8,132.44477460000002,1397,97420,2,97420
-8.60573046207428,120,98599,2.0429967284202575,8830,40.70211508724631,120.8,86.68491479999999,1374,98599,2,98599
-9.24596001177418,98,99617,2.1483308210664864,8840,33.0937156855432,98.8,64.445121,1355,99617,2,99617
-10.923220839500427,200,101129,2.4705856734514238,8850,79.7319685426963,165.6,114.7451644,1043,101129,2,101129
-11.859745688438416,200,102629,2.949058544039726,8860,217.86491544928145,176.8,171.4814638,1027,102629,2,102629
-12.81823187828064,200,104131,3.1483259958028795,8870,141.67165198237976,129.6,151.3132076,1012,104131,2,104131
-13.95659065246582,200,105419,3.280405068397522,8880,145.03141532867818,185.0,173.61265740000002,997,105419,2,105419
-14.960116953849793,200,106369,3.555037591457367,8890,123.62638594749126,86.6,136.9224066,982,106369,2,106369
-15.738310532569885,200,107300,4.076065177321434,8900,135.77478100461968,112.6,101.1968288,968,107300,2,107300
-16.722940263748168,200,107995,4.384384443759918,8910,45.873998975007574,69.8,59.150208,954,107995,2,107995
-17.457730436325072,200,108660,4.5298773926496505,8920,116.58095860717415,73.6,103.8377576,940,108660,2,108660
-18.196667804718018,200,109241,4.6370634269714355,8930,92.80561203344487,60.4,46.2807852,926,109241,2,109241
-18.789574184417724,200,109740,4.835143406391143,8940,32.548631656056834,50.4,29.411209199999995,912,109740,2,109740
-19.539114303588867,200,110392,5.066995152235031,8950,10.167493398828478,80.0,63.5461688,900,110392,2,110392
-20.15589952468872,200,111287,5.400563999414444,8960,198.2522147509334,126.6,161.82829959999998,835,111287,2,111287
-20.892639541625975,200,112014,5.22622565984726,8970,-11.00861730039486,44.2,-0.2542485999999993,825,112014,2,112014
-21.614279680252075,200,112636,5.818424775600433,8980,53.88445836813129,68.6,83.5102536,815,112636,2,112636
-22.459247074127198,200,113418,5.730532864332199,8990,-5.894116686130709,63.2,25.838693400000004,806,113418,2,113418
-23.40879621505737,200,114132,6.227737917900085,9000,98.79306348012605,63.4,117.7847618,798,114132,2,114132
-24.055170335769652,200,115041,6.866039738655091,9010,197.94638003121796,100.4,138.4241712,790,115041,3,115041
-24.85163778305054,200,116112,7.3753862476348875,9020,120.7783100819195,105.2,125.57667380000001,783,116112,3,116112
-25.640885839462282,200,117264,7.318062379360199,9030,5.1420774710485855,81.0,66.3305622,776,117264,3,117264
-26.330309286117554,200,118205,7.804216386079788,9040,66.89583145664352,85.8,61.8268314,770,118205,3,118205
-27.129593696594238,200,119047,8.097003133296967,9050,57.63074336619959,59.0,52.813653599999995,762,119047,3,119047
-27.937911100387574,200,119612,8.824018170833588,9060,45.64469083618898,47.0,51.73961260000001,755,119612,3,119612
-28.506998205184935,200,120180,9.540143926143646,9070,47.66323838892751,63.0,89.10560659999999,747,120180,3,120180
-29.186234951019287,200,120684,9.303548550605774,9080,86.38796942920061,49.4,88.99727579999998,697,120684,3,120684
-29.98674430847168,200,121115,10.048980009555816,9090,128.00408894851728,52.4,84.8754046,691,121115,3,121115
