actor_loss,adjusted_no_steps,buffer_size,critic_loss,episode_num,episode_reward,eplenmean,eprewmean,fps,nupdates,sampling_loop,total_timesteps
1.862294807434082,50,10000,0.38080924107693137,200,-0.9319309967681766,50.0,-0.9255192000000001,2262,10000,1,10000
1.9498191952705384,40,10420,0.0012978718121303245,210,-1.6170250252504066,40.0,-1.617025,157,10420,2,10420
2.004974808011736,42,10832,0.0013163741872025032,220,-1.3394228458755986,42.0,-1.339423,159,10832,3,10832
2.0518857188846753,46,11249,0.0011454971061776514,230,-1.1368634886371696,46.0,-1.136863,161,11249,4,11249
2.068601044741544,44,11658,0.0012368976379300213,240,-1.186823852836533,44.0,-1.186824,162,11658,5,11658
2.079310381412506,40,12073,0.0008592341720941477,250,-1.604017715006048,40.0,-1.604018,164,12073,6,12073
2.0911981225013734,40,12473,0.0011041867786843796,260,-1.5600512549539434,40.0,-1.560051,166,12473,7,12473
2.088074803352356,44,12883,0.0007362187051595273,270,-1.2152831556041783,44.0,-1.215283,167,12883,8,12883
2.075986808538437,40,13283,0.0019717874070920515,280,-1.5250499238808959,40.0,-1.52505,169,13283,9,13283
2.047953610834868,46,13694,0.0007999639024289892,290,-1.1090789874509501,46.0,-1.109079,170,13694,10,13694
2.0804921113527737,39,14109,0.0006819729538759789,300,-1.6224395456650011,39.0,-1.62244,171,14109,11,14109
1.999565851688385,40,14512,0.001246871444163844,310,-1.5854611059078016,40.0,-1.585461,172,14512,12,14512
2.0183036510760965,39,14917,0.0008991271692465466,320,-1.6224395456650011,39.0,-1.62244,173,14917,13,14917
1.9306419917515345,42,15335,0.0006789233399710307,330,-1.3267012238790694,42.0,-1.326701,174,15335,14,15335
1.8984115660190581,40,15744,0.0006555220315931365,340,-1.5052607866161045,40.0,-1.505261,175,15744,15,15744
1.845250798308331,46,16150,0.0016346830247051041,350,-1.1258228193450912,46.0,-1.125823,176,16150,16,16150
1.854913816219423,41,16553,0.0005495885000904886,360,-1.3376299077399179,41.0,-1.33763,177,16553,17,16553
1.8090430528689654,39,16963,0.0006085505163541827,370,-1.6224395456650011,39.0,-1.62244,179,16963,18,16963
1.7533365518618853,39,17382,0.0014658173604402691,380,-1.6224395456650011,39.0,-1.62244,180,17382,19,17382
1.6577728629112243,40,17789,0.001170160904439399,390,-1.5563276512428712,40.0,-1.556328,181,17789,20,17789
1.6180850664774578,42,18203,0.0024067017310742465,400,-1.3115984186447824,42.0,-1.311598,182,18203,21,18203
1.6126963114127135,39,18609,0.0007128376545062145,410,-1.6224395456650011,39.0,-1.62244,183,18609,22,18609
1.5091832280158997,44,19027,0.0007792225931718184,420,-1.202489719268482,44.0,-1.20249,183,19027,23,19027
1.4996848742167155,45,19450,0.0007479467189922515,430,-1.213305005480629,45.0,-1.213305,184,19450,24,19450
1.4318585813045501,40,19854,0.0009968925573048183,440,-1.400393306056416,40.0,-1.400393,185,19854,25,19854
1.3680603124878623,44,20277,0.0009177862825295465,450,-1.214918909956705,44.0,-1.214919,118,20277,26,20277
1.369210273791582,39,20684,0.0011721552851108403,460,-1.6224395456650011,39.0,-1.62244,119,20684,27,20684
1.2879155007275669,44,21103,0.0010884628229012544,470,-1.176432003319054,44.0,-1.176432,120,21103,28,21103
1.2422522143884138,44,21515,0.0010435780581743033,480,-1.2046010879289208,44.0,-1.204601,121,21515,29,21515
1.2443981904249926,39,21928,0.0008168586638744157,490,-1.6224395456650011,39.0,-1.62244,122,21928,30,21928
1.2053606265630477,39,22338,0.0011124422173732175,500,-1.6224395456650011,39.0,-1.62244,123,22338,31,22338
1.1605654518778732,41,22748,0.0005296829870686208,510,-1.332159732849341,41.0,-1.33216,124,22748,32,22748
1.1372126718846762,41,23155,0.0009374932326353723,520,-1.3560880016532026,41.0,-1.356088,125,23155,33,23155
1.1113001020943247,41,23555,0.0005697441172343111,530,-1.3670648702760593,41.0,-1.367065,126,23555,34,23555
1.090334359635698,47,23975,0.0008141714754449996,540,-1.144876443948351,47.0,-1.144876,127,23975,35,23975
1.0693619774609078,41,24389,0.00038203426775885974,550,-1.4335712764856257,41.0,-1.433571,128,24389,36,24389
1.027737720446153,44,24795,0.0004216017706229732,560,-1.1725702194369871,44.0,-1.17257,129,24795,37,24795
1.0465278931153126,39,25197,0.0007564898868366025,570,-1.6224395456650011,39.0,-1.62244,130,25197,38,25197
1.0321475267410278,39,25621,0.00043563688403735747,580,-1.6224395456650011,39.0,-1.62244,131,25621,39,25621
0.9998400942845778,44,26031,0.000275617173511736,590,-1.1799007720975827,44.0,-1.179901,132,26031,40,26031
0.9941163460413615,42,26453,0.0004857930524892817,600,-1.3244353230845536,42.0,-1.324435,133,26453,41,26453
0.9833909489891746,44,26850,0.0006597850445938424,610,-1.2039882774405197,44.0,-1.203988,134,26850,42,26850
1.0138027117802546,39,27255,0.0002638958998991606,620,-1.6224395456650011,39.0,-1.62244,135,27255,43,27255
0.9995603500268399,39,27653,0.0005661631969418615,630,-1.6224395456650011,39.0,-1.62244,136,27653,44,27653
0.9964239352788681,39,28052,0.001067453319988906,640,-1.6224395456650011,39.0,-1.62244,136,28052,45,28052
0.9974771234724257,45,28469,0.00016675967069911874,650,-1.2059751520301254,45.0,-1.205975,137,28469,46,28469
1.001485824584961,39,28881,0.0005828537513689997,660,-1.6224395456650011,39.0,-1.62244,138,28881,47,28881
0.9993378749260535,39,29292,0.0001775023647963117,670,-1.6224395456650011,39.0,-1.62244,139,29292,48,29292
0.9995453096017605,41,29696,0.0001414535648264729,680,-1.3191826283784702,41.0,-1.319183,140,29696,49,29696
